developer,userscore,metascore,genres,rating,summary,publisher,title,release_date
Volition Inc.,6.60,72,Action|Shooter|Third-Person|Arcade|,M,"Set 50 years after the climactic events of the original Red Faction, Red Faction: Guerrilla allows players to take the role of an insurgent fighter with the newly re-established Red Faction movement as they battle for liberation from the oppressive Earth Defense Force. Red Faction: Guerrilla",THQ Nordic,Red Faction: Guerrilla Re-Mars-tered,"Jul  2, 2019"
Nippon Ichi Software,6.90,72,Miscellaneous|Compilation|,M,"<span class=""blurb blurb_collapsed"">Hehe it's a 10/10<br/><br/>Can you elaborate?
Not needed.</span>",NIS America,The Silver Case 2425,"Jul  6, 2021"
Kitfox Games,6.20,72,Role-Playing|Action RPG|,T,"<span class=""blurb blurb_collapsed"">Romance your swords:<br/> <br/>- Date up to nine weapons, from dancing swords to heart-piercing daggers
- Generated action-combat dunj and challenges! Stay sharp!
- Various combat styles. For example, hit hard and dodge quickly with the dagger, or take on crowds with Lasersaber
- Inclusive,</span>",Kitfox Games,Boyfriend Dungeon,"Aug 11, 2021"
Vivid Helix,7.00,72,Puzzle|Action|,E,"Semispheres is a meditative parallel puzzle game that places dual realities at the heart of its challenge. Its unique single-player split-screen mechanic challenges your brain by putting you in control of two characters at the same time. Your left and right side must work together to unfold the mystery by solving clever puzzles in an entrancing ambience. Using portals and other abilities to avoid sentries, devise and execute your plan, reuniting the parallel worlds of Semispheres. [Nintendo]",Vivid Helix,Semispheres,"Sep 14, 2017"
Seaven Studio,5.20,72,Adventure|Visual Novel|,E10+,"<span class=""blurb blurb_collapsed"">One of TIMEs top five games of 2016, Burly Men at Sea is a folktale about a trio of large, bearded fishermen who step away from the ordinary to seek adventure.<br/> <br/>Set in the waters of early 20th-century Scandinavia, the game's story branches through a series of encounters with creatures from</span>",Brain&Brain,Burly Men At Sea,"Apr 12, 2018"
Kaiko,7.80,72,Role-Playing|Action RPG|,M,"The hit RPG returns! From the minds of the bestselling author R.A. Salvatore, spawn creator Todd mcfarlane, and Elder Scrolls IV: oblivion lead designer Ken rolston, comes kingdoms of amalur: re-reckoning. Remastered with stunning visuals and refined gameplay re-reckoning delivers intense,",THQ Nordic,Kingdoms of Amalur: Re-Reckoning,"Mar 16, 2021"
Namco,7.60,72,Miscellaneous|Compilation|,T,"<span class=""blurb blurb_collapsed""></span>",Bandai Namco Games,Namco Museum,"Jul 28, 2017"
Squarehead Studios,7.40,72,Action|Shooter|Shoot-'Em-Up|Horizontal|,E,"<span class=""blurb blurb_collapsed"">Star Ghost is an exciting evolution of the side-scrolling shoot-em-up.<br/> <br/>Patrol 12 star systems in the most advanced star fighter ever built. Navigate the perilous fragments of exploding planets, survive intense asteroid fields and dogfight with deadly Sentinel ships as you defend against</span>",Rainy Frog,Star Ghost,"Nov 30, 2017"
SIGONO INC.,5.60,72,Adventure|General|,T,"It's clear to me now that when you pick up a OPUS game you don't do it for the game play, or the graphics, you do it for the story, the journey, an unforgettable experience. Sigono is an indie game studio that flourishes when it comes down to the creative and heartfelt experiences that they bring us, and I wish that they will continue making these games for a very long time. I highly recommend this game.",Flyhigh Works,OPUS: Rocket of Whispers,"Mar 22, 2018"
Team Maniax,7.20,72,Action|Platformer|2D|,E,"Looking for the most action packed, slow-mo, couch shooter in the universe? Look no further. Challenge friends and family to awesome and fast paced arena battles. Choose between chaotic team matches and intense free-for-all fights. Dash and dodge bullet clusters in nerve wrecking slow motion moments. ",Stray Fawn Studio,Retimed,"Sep 20, 2018"
2Awesome Studio,7.49,72,Action|Platformer|2D|,E,If you’re a big fan of fast-moving and often intense platforming action Aeon Drive will likely have some appeal for you. With only 30 seconds,2Awesome Studio,Aeon Drive,"Sep 30, 2021"
NExT Studios,7.90,72,Action|General|Platformer|3D|,None,"Biped is a coop action adventure game with a strong focus on moment-to-moment collaboration between 2 players. Two little bipedal robots, Aku and Sila, will walk side by side and embark on a fun and bonding journey. You control the robot's two legs using two sticks. This allows you to perform various moves—from simple walking and sliding to more advanced actions, like operating machinery or cutting wood. Enjoy the adventure solo or grab a friend or a family member and have a blast together in co-op mode. Communicate and coordinate to conquer challenges together and find out how good a pair you truly are. Your adventure will take you to many beautiful and mysterious location on the planet. Explore secrets in forests, valleys, waterfalls and icy mountains and find your way through the puzzling paths that lead to the planetary beacons.",NExT Studios,Biped,"Jul  2, 2020"
Double Dash Studios,8.40,72,Action|Shooter|Shoot-'Em-Up|Horizontal|,E10+,"Sky Racket is the world’s first Shmup Breaker, mixing the classic genres of shoot ’em ups and block breakers. Blast bullets back at baddies while flying over whimsical worlds filled with vivid, kooky colors! Grab your laser tennis racket, a stylish scarf and your best buddies to battle a",Double Dash Studios,Sky Racket,"Mar 17, 2020"
WayForward,7.49,72,Action|Platformer|2D|,E10+,"The sequel to the critically acclaimed Shantae is here! Fans asked, and WayForward has answered with a powder keg of high-octane, hair-whipping, hip-shaking action available only on the Nintendo DSiWare service. Shantae: Risky's Revenge sets the bar even higher with thousands of frames of animation, huge multi-sprite bosses and a quest so big it's bursting at the seams. Guide ""half-genie"" Shantae through haunted wastelands, burning deserts, enchanted forests, dripping caverns and deadly labyrinths. Discover magical attacks, brew zombie coffee, save golden babies and master the art of belly dancing to transform Shantae into more powerful creatures. Use your powers to foil the lady pirate Risky Boots and save Sequin Land from certain doom. With its infectious characters, flirtatious humor and deliciously outlandish action, Shantae: Risky's Revenge offers up all the hair-whipping, belly-dancing action you can handle.",WayForward,Shantae: Risky's Revenge - Director's Cut,"Oct 15, 2020"
Sumo Digital,7.40,72,Action Adventure|Puzzle|Action|General|,E,"<span class=""blurb blurb_collapsed"">THINK LIKE A SNAKE!<br/> <br/>When the tranquillity of Haven Tor is interrupted by a mysterious interloper only the unlikeliest of heroes can save the day! Meet Noodle the Snake and his hyperactive best friend, Doodle the Hummingbird, who together must re-unite the missing Keystones with the</span>",Sumo Digital,Snake Pass,"Mar 28, 2017"
GungHo,7.10,72,Role-Playing|Miscellaneous|Compilation|Japanese-Style|,T,"Grandia and Grandia 2, a pair of games originally released on Sega's Saturn and Dreamcast consoles, respectively, are coming to Nintendo Switch. Both games feature newly retouched details for the user interface, sprites, and textures, enhanced cinematics, Japanese and English audio tracks, and Japanese and English language support along with new French and German translations.",GungHo,Grandia HD Collection,"Aug 16, 2019"
Toys for Bob,5.40,72,Action|Platformer|3D|,E10+,"This game is a solid port of the main imaginators story while removing the racing game bundled in other consoles, it however adds use of the HD rumble feature which makes the combat great and you can save your skylanders onto the console itself so you can play it on the go, a feature they borrowed from previous titles on the 3ds ports.",Activision,Skylanders Imaginators,"Mar  3, 2017"
Omega Force,7.10,72,Action|General|,M,"Attack on Titan 2 is the sequel to the action game based on the worldwide hit anime series ""Attack on Titan."" Experience the story of the anime alongside Eren and his companions, as they fight to save humanity from the threat of the deadly human devouring Titans. Try your hand in operating the omni-directional mobility gear, maneuvering and flying through the sky to counter the Titans, and feel the thrill and satisfaction of battling giant opponents.",Koei Tecmo Games,Attack on Titan 2,"Mar 20, 2018"
Doinksoft,7.40,72,Action|Platformer|2D|None|Metroidvania|,E,Pounce inside of your cozy armored mech and set off on a dangerous trek through an alien underworld full of irritable creatures and treacherous obstacles in a valiant effort to save your stranded captain and his crashed spaceship. Tiptoe outside the friendly confines of your technological marvel and follow your feline instincts through tight tunnels and mysterious waterways to scavenge for new weapons and gear. Adventure awaits the most curious of cats in Gato Roboto.,Devolver Digital,Gato Roboto,"May 30, 2019"
Collectorvision,7.60,72,Action|Platformer|2D|,E10+,"<span class=""blurb blurb_collapsed"">You play as Sydney Hunter, an explorer who gets trapped inside a Maya pyramid while he is out exploring the region.<br/> <br/>Sydney soon discovers that Kinich Ahau (the Maya sun god) and Kukulkan (the feathered serpent god) have broken up the sacred Maya Haab calendar into seven separate pieces,</span>",Collectorvision,Sydney Hunter and the Curse of the Mayan,"Sep 12, 2019"
Fictiorama Studios,6.90,72,Adventure|Point-and-Click|,T,None,Badland Games,Dead Synchronicity: Tomorrow Comes Today,"Nov 21, 2017"
FX Valley,7.49,72,Puzzle|General|,E,"<span class=""blurb blurb_collapsed"">I picked up this game for cheap and really enjoyed Grid Mania as I played through the casual puzzles.<br/> <br/>Pros:
- Easy to play
- 52 solid but</span>",QubicGames,Grid Mania,"Mar  2, 2018"
Dan & Gary Games,7.30,72,Role-Playing|Action RPG|,T,gameplay here Is mostly a lot of fun some of the platform parts are average at best but add enough humour and style that you look past that,Dan & Gary Games,Super Daryl Deluxe,"Apr 10, 2018"
Infinite State Games,7.49,72,Action|General|Arcade|,E,None,Digerati Distribution,"Don't Die, Mr. Robot!","May  3, 2018"
"Jackbox Games, Inc.",7.10,72,Miscellaneous|Board / Card Game|,T,"<span class=""blurb blurb_collapsed"">Drawful is back to save your boring parties with the new multiplayer party game Drawful 2, which challenges players to draw weird, funny and often ridiculous prompts on their smartphones and tablets.<br/><br/>Building on the original hit Drawful, Drawful 2 takes it to the next level by allowing</span>","Jackbox Games, Inc.",Drawful 2,"Jun 21, 2018"
Noxy Games Inc.,7.49,72,Adventure|Point-and-Click|,E,None,Flyhigh Works,Lanota,"Jun 14, 2018"
Huge Calf Studios,1.70,72,Sports|Individual|Ski / Snowboard|,T,"When Ski Lifts Go Wrong is a physics-based construction game in which the player must construct various chairlifts, bridges etc to get skiers",Curve Digital,When Ski Lifts Go Wrong,"Jan 23, 2019"
DANGEN Entertainment,7.00,72,Action|Shooter|Shoot-'Em-Up|Horizontal|,T,"Simply put, Devil Engine could best be described as a ""Classic 90's Shoot'em up with 2019's tight controls, whipped with a ton of extras"".",DANGEN Entertainment,Devil Engine,"Feb 21, 2019"
Retrific,7.49,72,Action|Shooter|Shoot-'Em-Up|Top-Down|,None,"<span class=""blurb blurb_collapsed"">Take your revolver and rescue your partner in this atmospheric and punchy roguelike game.<br/><br/>Colt Canyon is a 2D pixel art shooter where you control a cowboy, or one of the many other unlockable characters, whose mission is to save his kidnapped partner from the ruthless bandits. Take your gun</span>",Headup Games,Colt Canyon,"Jun 16, 2020"
HeroCraft,7.49,72,Action|General|,E,"<span class=""blurb blurb_collapsed"">Hyperforma is a captivating story about a lone explorer who makes his journey into the relic cyberspace ""Ancient Network"", an artefact of a mysteriously vanished civilization of the past, hoping to reveal the secrets of its masters.<br/> <br/>During his search, the hero meets monumental “living”</span>",HeroCraft,Hyperforma,"Sep  5, 2019"
Meridian4,7.49,72,Simulation|Virtual|Career|,E,"<span class=""blurb blurb_collapsed"">Bridge Constructor Ultimate Edition includes the ""Bridge Constructor"" and both DLCs ""Slopemania"" and the ""Trains"" Expansion Pack!<br/> <br/>In Bridge Constructor, you can become an accomplished bridge builder without any formal training. Play 40 different levels, and build bridges over deep</span>",Headup Games,Bridge Constructor Ultimate Edition,"Jan 31, 2020"
aPriori Digital,7.49,72,Adventure|General|,T,"Tells a compelling narrative for its abbreviated runtime and I appreciate the experimentation, but it feels awfully lot like something that would be better suited to film or theatre than a game.",aPriori Digital,CAN ANDROIDS PRAY:BLUE,"Apr 16, 2020"
HB Studios Multimedia,4.50,72,Sports|Individual|Golf|Sim|,E,"<span class=""blurb blurb_collapsed"">ALL-NEW PGA TOUR CAREER MODE:Prove you’ve got what it takes to become FedExCup Champion. Take on PGA TOUR Pros during your very own career, earning rewards and gear along the way.<br/>  PGA TOUR PROS AND NEW COURSES: Play against Justin Thomas and 11 top pros on stunning, real-life courses</span>",2K Games,PGA Tour 2K21,"Aug 21, 2020"
Bamtang,7.20,72,Racing|Arcade|Automobile|,E,"<span class=""blurb blurb_collapsed"">Nickelodeon Kart Racers is back! We've brought the whole gang and more!<br/><br/>Choose from 30 of Nickelodeon's Hall of Fame, incluuding Jojo Siwa, Spongebob Squarepants, The Teenage Mutant Ninja Turtles, the babies from Rugrats, the cool kids from Hey Arnold!, Ren and Stimpy, Lincoln Loud and his</span>",GameMill Publishing,Nickelodeon Kart Racers 2: Grand Prix,"Oct  6, 2020"
echo games,7.49,72,Action|Rhythm|Music|,None,"Commander Chaos, the most infamous Beatarain in this universe. Finally, he set his mind on the Planet Earth, and destroy the peaceful life of animals and vegetables. He use dark Beat Energy, and turn all the lovely vegetables into evil minions in a blink. They wreak havoc all over the world.",Coconut Island Games,Rhythm Fighter,"Jan 14, 2021"
Nippon Ichi Software,8.00,72,Miscellaneous|Compilation|,T," This is the first installment of a quintessential Strategy RPG lover’s collection, which boasts 2 games in 1! With over 60 hours of gameplay between both games, and an exclusive physical Deluxe Edition that includes a CD soundtrack and art book (with music and art from both titles), returning fans can relive time-honored favorites, while new (and old) fans can discover hits they may have missed! ",NIS America,Prinny Presents NIS Classics Volume 1,"Aug 31, 2021"
Studio Somewhere,7.49,72,Action|Platformer|3D|,E,"Experience chill summer vibes, relax to a City Pop inspired soundtrack, and take to the sun filled skies with friends in these Bonito Days. Be transported back to lazy summer days and less stressful times alone or with up to 4 friends. Master the momentum based rolling and gliding controls,",Studio Somewhere,Bonito Days,"Oct 14, 2021"
Talpa Games,6.00,72,Action|Platformer|3D|,None,"<span class=""blurb blurb_collapsed"">Mail Mole is a charming 3D platformer featuring Molty, the fastest delivery mole, in his quest to save Carrotland from disaster!<br/><br/>Explore magical worlds, from the calm beaches of Coconut Islands to the freezing heights of Yeti Ridge, make new friends, race against unusual mech-rivals, solve</span>",Undergames,Mail Mole,"Mar  4, 2021"
Irisloft,6.80,72,Adventure|General|,E,None,Irisloft,Flood of Light,"Aug 23, 2018"
Telltale Games,7.90,72,Adventure|Point-and-Click|,M,"Enter the fractured pysche of Bruce Wayne in this dark and violent new story from the award-winning creators of The Walking Dead - A Telltale Games Series. Batman - The Telltale Series comes to retail as a Season Pass Disc, which includes Episode One, and grants access to the remaining four episodes in the season as they become available to download. The Season Pass Disc will give you access to a total of 5 episodes as they become available.",Telltale Games,Batman: The Telltale Series,"Nov 14, 2017"
Rock Pocket Games,7.49,72,Action|Platformer|2D|,E,"Rock Pocket Games' Shiftlings, a platform puzzler, which can be played both alone or with a friend, revolves around two Alien Twins who are attached to each other through a cable. In single player mode the player can switch the controls between the two aliens on top of switching the size of the two, while in co-op mode, each player controls one of the two twins. Switching size between the two characters is an important part of getting through the tricky puzzles. The smaller size enables higher jumps while the bigger Twin can't jump but instead is able to push boxes and can be used as a trampoline by the smaller counterpart. The Cable, that connects to two Twins, provides both challenges but also solutions to get the two through the puzzles and to the end goal of each level.",Rock Pocket Games,Shiftlings: Enhanced Edition,"Feb  1, 2018"
Choice Provisions,7.40,72,Action|General|Shooter|Shoot-'Em-Up|Vertical|,E,"Space Dave! The spiritual successor to Woah Dave! Is a fixed arcade shooter by the developers that brought you Bit Trip, Space dave has",Choice Provisions,Space Dave!,"Jan 25, 2018"
Just Add Water,7.60,72,Action Adventure|General|,T,"Stranger vs. OutlawsStranger's Wrath follows the story of Stranger, a fearsome bounty hunter that captures outlaws to raise ""moolah"" for a mysterious surgical procedure. After encountering the backwater town of the Grubbs, Stranger discovers that there are a few too many secrets about the past and his future as a bounty hunter.",Oddworld Inhabitants,Oddworld: Stranger's Wrath HD,"Jan 23, 2020"
Baroque Decay,7.50,72,Action Adventure|General|,T,"Join Hans in a fantasy world and experience a unique adventure, full of surprises and challenges. Get hooked on an immersive tale, where every decision counts and every clue is a piece to solve the puzzle and get the treasure. Unravel the sordid secrets of the castle, meet colorful characters, and remember: horror always lurks beneath the surface.",Merge Games,The Count Lucanor,"Oct 19, 2017"
Teku Studios ,7.60,72,Action|Platformer|2D|,E10+,"Candle is a 2D sidescrolling adventure game that uses the powerful and indie-lover engine Unity 4. Its creators describe it as a ""dynamic graphic adventure"", since its gameplay combines both Platformer and Graphic Adventure genres. The player takes control of Teku, a young and inexperienced character in his journey to save his friends and unravel the mysteries of his world.",Merge Games,Candle: The Power of the Flame,"Jul 26, 2018"
Decemberborn Interactive,6.10,72,Action|Action Adventure|Platformer|Open-World|Metroidvania|,E10+,"Explore a vast world. Wake up in a world with no recollection of how you got there. A world full of secrets, hidden rooms, dungeons and towns. Make your way through more than 600 rooms, and unravel the secrets of your past. From the sunny beaches of Brightwind in the south, to the cold regions of Icepeak Mountain to the north, the map will always be your friend. Find map fragments along the way, and use the map to see which parts of the world you haven't visited yet, where you are supposed to go and which parts you missed the first time around. Use the elemental orbs to find the answers to who you are. The orbs, placed in ancient times by the demi-god known only as Ardur, is protected by five fearsome guardians. Meet these challenging bosses head-on in combat, and see if you can best them!",Decemberborn Interactive,Cathedral,"Feb 18, 2021"
Solar Sail Games,6.70,72,Action Adventure|General|,E10+,"Smoke and Sacrifice is an open-world, narrative-driven RPG, where exploiting living ecosystems is the key to your survival. Craft, fight, survive and explore the huge open world in this beautifully hand-painted, gothic adventure where every character has their tale to tell. Sachi's home is the one tiny patch of fertile land which remains in an icy wasteland of a world. Her farming community thrives thanks to their devotion to the blazing Sun Tree, which replaces the lost light of the failed sun. After sacrificing her firstborn child to the Sun Tree, Sachi discovers a darker secret beneath the aura of priestly benevolence. Will she discover the truth hidden in the secret underworld, or perish in its swirling, deadly smoke? With the odds stacked against her, strange creatures challenging her every step, and the ever-looming smoke waiting to steal life and memory, will Sachi ever discover the truth of what happened to her son?",Curve Digital,Smoke and Sacrifice,"May 31, 2018"
Ubisoft Paris,6.00,72,Action|Rhythm|Dancing|,E,"<span class=""blurb blurb_collapsed"">40 Tracks, including:<br/>Finesse (Remix) – Bruno Mars Ft. Cardi B<br/>Bum Bum Tam Tam – MC Fioti, Future, J Balvin, Stefflon Don, Juan Magan
Bang Bang Bang – BIGBANG
Mad Love – Sean Paul, David Guetta Ft. Becky G
Shaky Shaky – Daddy Yankee
Dame Tu Cosita – El Chombo ft. Cutty Ranks
OMG –</span>",Ubisoft,Just Dance 2019,"Oct 23, 2018"
Techland,8.00,72,Action|Shooter|First-Person|Arcade|,M,"From the dust of a gold mine to the dirt of a saloon, Call of Juarez Gunslinger is a real homage to the Wild West tales. Live the epic and violent journey of a ruthless bounty hunter onto the trail of the West's most notorious outlaws. Blurring the lines between man and myth, this adventure made of memorable encounters unveils the untold truth behind some of the greatest legends of the Old West.",Techland,Call of Juarez: Gunslinger,"Dec 10, 2019"
Nippon Ichi Software,7.20,72,Action|Action Adventure|General|,E10+,"Seemingly plucked from the pages of an ancient fairy tale, The Liar Princess and the Blind Prince tells the story of a solitary wolf, who sings a beautiful melody in her loneliness, and the young prince who seeks out the voice's origins. Upon finding its source, the prince inadvertently startles the wolf, who blinds him by accident. When the prince is locked away, the wolf seeks to free him and restore his sight. The wolf visits the witch of the forest to receive a human form so that the prince could no longer be harmed. In exchange for her singing voice, the wolf becomes a princess and returns to the blind prince. The two then embark on a dangerous journey to bring the prince to the witch of the forest and heal his eyesight. All will be revealed in this beautiful, haunting fairy tale of love and loss.... ",NIS America,The Liar Princess and the Blind Prince,"Feb 12, 2019"
Dreams Uncorporated,7.30,72,Role-Playing|Japanese-Style|,T,"Cris Tales is a gorgeous, indie love letter to classic JRPGs with a new perspective. Peer into the past, act in the present, and watch as your choices dynamically change the future -- all on one screen as you play! Join the newly awakened Time Mage Crisbell and her fantastical companions on",Modus Games,Cris Tales,"Jul 20, 2021"
Ubisoft Paris,5.30,72,Action|Rhythm|Dancing|,E10+,"Grab your friends and family because it's time to dance! The biggest music video game franchise of all time is back, with over 60 million units sold. Just Dance 2017 brings you over 40 new tracks, six game modes, updated content all year long and access to 200+ songs through Just Dance",Ubisoft,Just Dance 2017,"Mar  3, 2017"
QubicGames,7.20,72,Role-Playing|Action RPG|,M,"<span class=""blurb blurb_collapsed"">Discover the truth behind an enigmatic AI striving to reach the Singularity, a theoretical event horizon in which artificial intelligence will surpass human intelligence and all bets about the future will be off. How will you play your part in the story?<br/> <br/>Explore the futuristic city of</span>",QubicGames,Dex,"Jul 24, 2020"
Wonderboy Bobi,7.49,72,Action|Platformer|2D|,E10+,"<span class=""blurb blurb_collapsed"">Inconspicuous combination of a platformer bullet hell with cute, pixel graphics. Tanuki Justice will challenge your precision jumping and shuriken throwing skills.<br/> <br/>Features:
• Dynamic gameplay with visuals that fit the atmosphere.
• Dozens of different types of enemies.
• Classical</span>",No Gravity Games,Tanuki Justice,"Dec 10, 2020"
Coatsink Software,6.70,72,Action|Platformer|2D|,E,"When the great and terrible Storm destroys Shu's village, he embarks on a desperate journey to survive. On his travels he'll encounter stranded villagers; survivors of the devastation that need his help. In return for his assistance, these peculiar characters will grant Shu unique special abilities that he can use to traverse the treacherous path ahead. Their only hope is to work together, in search of sanctuary - and a way to stop the Storm. Can you outrun the end of world? ",Coatsink Software,Shu,"Jan 23, 2018"
VD-DEV,6.10,72,Racing|Arcade|Futuristic|,E,"This game has received constant updates throughout its life, making it one of the best arcade racers on Switch. It now runs at 60 FPS and features co-op multiplayer.",VD-DEV,Rise: Race The Future,"Jul 22, 2019"
Plausible Concept,7.00,72,Action|Strategy|Real-Time|General|,T,"<span class=""blurb blurb_collapsed"">Bad North is a charming but brutal real-time tactics roguelite. Defend your idyllic island kingdom against a horde of Viking invaders, as you lead the desperate exodus of your people. Command your loyal subjects to take full tactical advantage of the unique shape of each island.<br/><br/>Everything</span>",Raw Fury,Bad North,"Aug 20, 2018"
Ronimo Games,7.49,72,Strategy|General|,T,"Rewrite history as you take control of the brutal Vikings, the devious Aztecs or the crafty Chinese in their global quest to win the favor of the Gods! Swords & Soldiers is a side-scrolling strategy game that lets you control an entire army and lets you wield devastating magical abilities. Demolish your enemy's castle at the end of these two-dimensional battlefields and lead your troops to victory! Featuring hours of single-player campaign gameplay, challenging skirmishes and frantic local multiplayer matches that let you take the fight to your friends! If that still isn't enough for you, there are several compelling challenge modes to unlock that will test your abilities to their limits in a bid for that one glorious high score!",Two Tribes,Swords & Soldiers,"Jan 25, 2019"
Hidden Fields,7.10,72,Adventure|3D|First-Person|,M,"After learning of his grandfathers mysterious death in a fire, the protagonist travels to Mundaun for the first time since childhood. He will soon discover that something old and diabolical is haunting the remaining inhabitants. The quest to find out the meaning behind these sinister events takes the player on an odyssey up Mundaun mountain: From steep meadows across stony fields and to the snow-covered peak. Mundaun is a lovingly hand-pencilled horror tale set in a dark, secluded valley of the alps. Explore various areas full of secrets to discover, survive hostile encounters, drive vehicles, fill your inventory and solve a variety of hand-crafted puzzles.",MWM Interactive,Mundaun,"May 27, 2021"
Abrakam SA,6.80,72,Strategy|Turn-Based|Card Battle|Tactics|,E10+,"The ancients speak of a Book written since time immemorial containing all the world's legends. After many fabulous adventures, recounted in Faeria Chronicles of Gagana, this relic was lost in a well of Faeria. Through contact with this source of magic, the Book developed a wicked free will",Nacon,Roguebook,"Apr 21, 2022"
OutOfTheBit,7.49,72,Sports|Team|Soccer|Arcade|,None,"Arcade Football is back! Modifiers, Custom Tournaments, Story Mode, and More - only in Super Arcade Football! Super Arcade Football is a fast-paced football game where you don't get to catch your breath. With simple controls that lets anyone pick up and play, online and local multiplayer,",OutOfTheBit,Super Arcade Football,"Sep 19, 2021"
Success,7.49,72,Action|Shooter|Shoot-'Em-Up|Horizontal|,E10+,"The Cute 'em Up mascot is back in a more vibrant and colorful look. The world has fallen into darkness, and the fairy Silk sets out to look for help. She crosses paths with a young witch called Nata de Cotton, who seems rather uninterested in helping her. That is until Silk tells her that along the way, giant Willows, a candy that Cotton has a massive craving for, are waiting for her, so the two set out to find out what's causing the darkness... or look for Willows! Cotton 100% was released in 1994 and is based on the original Cotton: Fantastic Night Dreams. It offers a stunning and fresh new look with the more vibrant color palette of the Super Famicom. Experience the beautiful and authentic Cute 'em Up action from the 90s in all its glory and charm.",ININ Games,Cotton 100%,"Oct 29, 2021"
Team Ninja,6.20,72,Miscellaneous|Compilation|,M,"<span class=""blurb blurb_collapsed"">Three extremely high speed and intense ninja action games are now available in one package!<br/><br/>Enjoy 3 games from the NINJA GAIDEN series in this single collection. 

The nostalgic yet timeless high-speed action of the series unfolds on the latest hardware, so look forward to heated battles</span>",Koei Tecmo Games,Ninja Gaiden: Master Collection,"Jun 10, 2021"
Bishop Games,7.20,72,Action|Platformer|2D|,E10+,"Light fall had me hooked from the start and if you’re a fan of 2D platformers or exceptionally well written stories this is the game for you. Bishop have taken a simple idea and made a fantastic journey that you will no doubt be telling your friends about for weeks to come, both the good and the frustrating moments. Light fall has everything you could ever want from a platformer and more to boot.",Bishop Games,Light Fall,"Apr 26, 2018"
Capcom,6.60,72,Action Adventure|Survival|,M,"The biohazard threat has not ended: Just when it seemed that the menace of Resident Evil had been destroyed, along comes a new terror to send shivers down players' spines. Chris Redfield, returning Resident Evil hero, has followed the path of the evil literally around the globe. After joining a new organization, Chris heads to Africa where the latest bioterrorism threat is literally transforming the people and animals of the city into mindless, maddened creatures. He is joined by a new partner, Sheva Alomar, who lends her strength, intelligence and sharp-shooting skills to the mission. In order to survive, Chris and Sheva must work together to take on the challenges of discovering the truth behind this evil plot. Utilizing a revolutionary new 2-player co-op mode of gameplay, players assume control of either Chris or Sheva and experience Resident Evil in new ways. In Resident Evil 5, Capcom has players fearing the daylight as much as they have feared shadow in previous games.",Capcom,Resident Evil 5,"Oct 29, 2019"
Software Entwicklung GmbH,7.49,72,Simulation|Virtual|Career|,E,"Once you have started your own company, you can start exploring new regions in Westside Plains bit by bit, and accept ever-larger and more lucrative construction jobs in the open world of Construction Simulator 2 US – Console Edition. Original, licensed vehicles and machines from Caterpillar, Liebherr, Palfinger, Bell Equipment, STILL, ATLAS, Mack Trucks, MEILLER Kipper, and Kenworth. Operate CAT's D8T crawler tractor, 430F2 backhoe or 745C dump truck, Palfinger's PK 27002 SH loading crane, Liebherr's 81K tower crane and LTM 1300 mobile crane, ATLAS' L310 wheel loader and Bell Equipment's B45E dump truck, as well as the T880 from Kenworth.",astragon,Construction Simulator 2: Console Edition,"Nov  6, 2019"
Arc System Works,7.49,72,Role-Playing|Adventure|General|Japanese-Style|,T,"Kowloon High-School Chronicle is a hybrid RPG, adventure, and first-person simulation game originally released in 2004 in Japan. Never before released in North America, experience this classic title, now remastered in HD on Nintendo Switch. Treasure Hunters -  Adventurers who search for",Arc System Works,Kowloon High-School Chronicle,"Feb  4, 2021"
Honig Studios,7.49,72,Action Adventure|General|Linear|,E,"<span class=""blurb blurb_collapsed"">El Hijo: A Wild West Tale is an exciting spaghetti-western stealth game, in which you guide a 6-year-old boy on his quest to find his mother.<br/><br/>As a six-year-old, ""El Hijo"" must always sneak past the dangers of his world. As he overcomes his challenges, he gains self-confidence and cunning</span>",HandyGames,El Hijo: A Wild West Tale,"Mar 25, 2021"
Cape Cosmic,8.00,72,Action Adventure|General|,E10+,"Join Gail, a simple villager, who must heed the call for adventure when a great star ship appears in the night sky and abducts all the adults. As the new oldest member of her fragmented community, she must set out to solve this great mystery. Little does she know of the grand adventure",Cape Cosmic,Phoenotopia: Awakening,"Aug 20, 2020"
Zoink!,6.70,72,Action|Action Adventure|General|Open-World|,E,"In Fe, players are enchanted by the natural surroundings as they uncover secrets, complete side quests, and meet the mystical creatures of the forest. Players climb, glide and dig as they voyage through the open experience meeting, interacting and rescuing plants and animals from the Silent Ones, the machine antagonists that are threatening the forest. Through unparalleled freedom of exploration in a world full of discoveries to uncover, players become Fe and never want to leave. [Electronic Arts]",Electronic Arts,Fe,"Feb 16, 2018"
2Awesome Studio,7.50,72,Action|General|Shooter|Shoot-'Em-Up|Vertical|,E10+,None,2Awesome Studio,Dimension Drive,"Dec  7, 2017"
Blue Tongue Entertainment,7.30,72,Action|Platformer|3D|,E,"<span class=""blurb blurb_collapsed"">Launch a Color Revolution!<br/> <br/>Only de Blob can flip, smash, and paint his way into the all-powerful INKT Corporation to launch a color revolution and save Chroma City from a future without color.

* Paint the city and smash your way past inky enemies to save the citizens.
* Dodge ink</span>",THQ Nordic,de Blob,"Jun 26, 2018"
