release_date,developer,publisher,userscore,rating,summary,metascore,genres,title
"Oct 15, 2020",High Tea Frog,Coatsink Software,6.0,E,"<span class=""blurb blurb_collapsed"">Cake Bash<br/>Pretty Sweet<br/>Cake bash is a 4 player mini gm based competitive game that can be played either local or online and here you play as</span>",76,Miscellaneous|Party / Minigame|,Cake Bash
"Jul 28, 2021",Rainbite,EastAsiaSoft,tbd,T,"Magic and firearms make a deadly combo. Recalling the visual style and intuitive gameplay of 16-bit action-adventure classics, Trigger Witch puts an ultra-violent spin on cute and colorful pixel art. With a compelling and original narrative, puzzling environments to explore, a dynamic soundtrack, twin-stick shooter mechanics and a vast array of enemies to blast into smithereens, this is a tale that will grip you from start to bloody finish. From the creators of Reverie, Trigger Witch is a stylized 2D twin-stick action game set in an odd open world where magic is outdated and firearms are the new way of life. Players assume the role of Colette, a prospective graduate from the Stock, an academy for Witchcraft and Triggery. After a mysterious man invades her realm, events are set in motion that turn Colette’s life upside-down, casting her as the sole heroine with enough firepower to restore peace.",76,Action|Shooter|Shoot-'Em-Up|Top-Down|,Trigger Witch
"Oct 21, 2014",Flippfly,Flippfly,6.1,E,"<span class=""blurb blurb_collapsed"">You are a solar-powered craft. The sun is your death timer. Hurtle towards the sunset at breakneck speed in a futile race against time.<br/> <br/>You are a solar-powered craft. The sun is your death timer. Hurtle towards the sunset at breakneck speed in a futile race against time. Race The Sun is</span>",76,Action|Racing|General|Arcade|Futuristic|,Race the Sun
"Sep  3, 2021",Demagog Studio,Untold Tales,6.8,None,"Human life is wiped out. Earth is now a golf course for the ultra-rich. The rich fled to Mars but venture back to a desolate Earth for a round of golf. Each hole in the wasteland offers its own little story and possible puzzle to sink the perfect shot. Play through destroyed brutalist monuments, crumbling shopping malls, and abandoned museums as neon signs and poignant graffiti take swings at current events, Silicon Valley culture and humanity. Piece together the full story of how humanity fell through three distinct sources. Details from the lone golfer’s story, who's come back to Earth for one last game. The Radio Nostalgia From Mars broadcast that gives a glimpse into the lives of those who escaped. And the narration of a “secret spectator” watching from a distance...Be accompanied by a purposefully composed soundtrack as well as personal stories broadcasted on Radio Nostalgia From Mars. The station caters to citizens of Mars, nostalgic for Earth as they listen to music from the 2020s, and dial in to share their memories of the planet. A smooth-voiced radio DJ keeps the show flowing with updates and announcements hinting at a not-so-glamorous life on Mars. Three distinct modes mean every golfer can find something for their tastes. Casual players can focus just on the story and a relaxing scenic round of golf in Story Mode. Those looking for an extra challenge can beat each hole under par using skill and puzzle solving through Challenge Mode. While the total pros can try Iron Mode, where there’s almost zero room for error. Easy-to grasp controls and a minimalist UI underpin the whole game so anyone can easily pick up and play at their own pace. ",76,Adventure|Puzzle|Action|General|,Golf Club: Wasteland
"Jul 11, 2019",JoyMasher,The Arcade Crew,7.6,T,"After the abysmal Contra: Rogue Corps, I decided to try this as it looked similar to the Contra I love and grew up with, but man, I was not expecting it to be this good. The game has been made by people who clearly know what they are doing in terms of Contra style games (which this game is inspired by), and I highly recommend it to anyone who is looking for another Contra style game.",76,Action|Platformer|2D|,Blazing Chrome
"Dec  3, 2019",Square Enix,Square Enix,6.3,T,"<span class=""blurb blurb_collapsed"">Originally released in Japan in 2016, SaGa SCARLET GRACE lets you pick one of four distinct heroes - each with their own unique storylines. That means you essentially have four RPGs in a single game.<br/><br/>The version that launches in the West as SaGa SCARLET GRACE: AMBITIONS improves things</span>",76,Role-Playing|Japanese-Style|,SaGa: Scarlet Grace - Ambitions
"May 31, 2019",Squanch Games,Gearbox Publishing,8.1,M,"Your dogs have been dognapped by a beaked lunatic who stuffed them into his eye holes and is using their life essence to destroy the universe. You’re partnered with Trover, a little purple eye-hole monster who isn’t a huge fan of working or being put in the position of having to save the universe.",76,Action|General|Platformer|3D|,Trover Saves the Universe
"Sep 19, 2019",Die Gute Fabrik,Die Gute Fabrik,7.6,T,"A mutant soap opera where small-town gossip meets the supernatural. Join Kai as she arrives in the mysterious community of Mutazione to care for her ailing grandfather. Discover scenic hangouts, magical gardens, new friends, and old secrets… They can survive an apocalyptic meteor strike, but can they survive their small-town drama?",76,Adventure|Point-and-Click|,Mutazione
"Nov 14, 2017",Team Bondi,Rockstar Games,7.9,M,"Amid the post-war boom of Hollywood's Golden Age, Cole Phelps, an LAPD detective is thrown headfirst into a city drowning in its own success. Corruption is rampant, the drug trade is exploding, and murder rates are at an all-time high. In his fight to climb the ranks and do what's right, Phelps must unravel the truth behind a string of arson attacks, racketeering conspiracies and brutal murders, battling the L.A. underworld and even members of his own department to uncover a secret that could shake the city to its rotten core. Using groundbreaking new animation technology that captures every nuance of an actor's facial performance in astonishing detail, L.A. Noire is a violent crime thriller that blends breathtaking action with true detective work to deliver an unprecedented interactive experience. Search for clues, chase down suspects and interrogate witnesses as you struggle to find the truth in a city where everyone has something to hide.",76,Action Adventure|Adventure|3D|Open-World|Third-Person|,L.A. Noire
"Sep 25, 2020",Hangar 13,2K Games,6.9,M,"Part one of the Mafia crime saga - 1930s, Lost Heaven, IL Re-made from the ground up, rise through the ranks of the Mafia during the Prohibition era of organized crime. After a run-in with the mob, cab driver Tommy Angelo is thrust into a deadly underworld. Initially uneasy about falling in",76,Action Adventure|Open-World|,Mafia: Definitive Edition
"Jul 30, 2019",Electronic Arts,Electronic Arts,1.4,E,"Take the journey of an NFL superstar. Create a college quarterback and dominate the College Football Playoff, then impress the scouts at the NFL Combine. Find out where your story begins at the NFL Draft, and then fight to prove you belong in the league. Last long enough and you just might leave a legacy and even play in a few Pro Bowls. This new and customizable career campaign is all about you, with personalized playable scenarios, events, and dynamic challenges. The choices you make early on will affect how your career pans out.",76,Action|Sports|General|Team|Football|Sim|,Madden NFL 20
"Mar 15, 2017",Flying Oak Games,Plug In Digital,6.2,E10+,"Fast, retro, addicting, fun, Neurovoider is a twin stick shooter that comes at you with the powerful, violent bass of its synthwave",76,Action|Shooter|Shoot-'Em-Up|Top-Down|,NeuroVoider
"Dec  6, 2016",Ubisoft,Ubisoft,6.9,E,It's an absolute travesty that this game has received anything less than a 9 from both critics and users and I implore everyone with any VR,76,Miscellaneous|Party / Minigame|,Werewolves Within
"Jan 31, 2017",Infinity Ward,Activision,1.8,None,Sabotage is a very good dlc for Infinite Warfare. The new zombies map is especially great with a reference to an old classic horror movie. The,76,Action|Shooter|First-Person|Tactical|,Call of Duty: Infinite Warfare - Sabotage
"Oct 17, 2017",5pb,5pb,8.4,M,"Discover A Darker Japan - Explore Shibuya in 2015, after an earthquake nearly levelled the city six years prior, and try to outsmart the puppet-master behind this New Generation Madness. Track Down A Serial Killer - Play as Takuru, an arrogant senior and the newspaper club president, and discover the pattern in a series of bizarre deaths around you that the police can't seem to crack.",76,Adventure|General|Visual Novel|,Chaos;Child
"Aug  7, 2018",Zoink!,Rising Star Games,5.3,T,"A good and fun adventure game Fun and not frustrating puzzles and I like the hint system dead tells you what to do, but not in a way very they tell you their entire solution. I would highly recommend this game if you find it for a good price. I think this is a good spiritual Sequel to stick it to the man.",76,Action|Action Adventure|General|,Flipping Death
"Jan 30, 2018",Darkwind Media,Darkwind Media,6.4,M,None,76,Action|Beat-'Em-Up|2D|,Wulverblade
"Jun  5, 2018",ZeniMax Media,Bethesda Softworks,5.3,M,"The Elder Scrolls Online: Summerset is the next Chapter of ZeniMax Online Studios' award-winning online RPG, The Elder Scrolls Online (ESO). This new adventure in the ESO saga will send adventurers and their friends to the Summerset Isle, to visit and explore the ancestral home of the high",76,Role-Playing|Massively Multiplayer|,The Elder Scrolls Online: Summerset
"Aug 21, 2018",Spotlightor Interactive,Zodiac Interactive,tbd,E10+,"<span class=""blurb blurb_collapsed"">Despite only being able to burn for 10 seconds, a little candle journeys into the darkness, with the purpose of seeking the light.<br/><br/>Candleman is an action adventure story entwined with low-light gameplay. Acting as a little candle who can burn for only 10 seconds, players will venture</span>",76,Action|Platformer|3D|,Candleman: The Complete Journey
"Jan 28, 2020",Obsidian Entertainment,Versus Evil,4.5,M,"The god Eothas awakened from his sleep, erupting from beneath your castle, killing your people and stealing a piece of your soul. Now only you and your companions can uncover the rogue god’s machinations as he tramples over the Deadfire Archipelago. The award-winning RPG from the masters at Obsidian Entertainment finally arrives, featuring all major updates and expansions.",76,Role-Playing|Western-Style|,Pillars of Eternity II: Deadfire - Ultimate Edition
"Nov 17, 2020",Various,Devolver Digital,6.9,M,"Prepare to unleash your inner beast as you go after an army of wicked extraterrestrials. Follow the notorious hero, Sam 'Serious' Stone, in his quest to destroy the alien overlord, Mental, in The Serious Sam Collection - the most action-packed compendium of Serious Sam games. Featuring four of the best Serious Sam games ever made, The Serious Sam Collection has been updated with enhanced visuals, lush landscapes, improved textures and character models in HD. With an arsenal of chainsaws, flamethrowers, rocket launchers, sniper rifles and more, this is some serious first-person shooting action. Now four titles are available for the cost of a single game.",76,Miscellaneous|Compilation|,Serious Sam Collection
"Aug 13, 2020",Team Alto,Snowman,tbd,E,"The Alto Collection brings both the critically acclaimed and beloved Alto’s Adventure and Alto’s Odyssey into one experience for the first time. A whole new group of players will finally be able to see what millions of others have discovered as they explore the ivory snows and the endless desert on the big screen in one collection. Join mountain shepherd Alto and friends as they set out to rescue their escaped llamas and find the adventure of a lifetime. In this collection, you will journey across the beautiful alpine hills of their native wilderness and soar above windswept dunes in a fantastical place far from home. Each procedurally-generated run provides new inspiration and a fresh set of challenges that seamlessly blends our unique landscapes together. Throughout the journey you’ll meet new friends and escape adversaries with clever combinations of expertly timed inputs. As you test your limits, fortune will favour the bold. Each backflip and successfully landed trick grants a temporary speed boost, allowing you to reach new heights and make it further down the mountain. Misjudge the timing of a backflip or the execution of a jump, and you’ll find yourself in a crash landing at the end of your run. As players progress through the terrain, they’ll earn upgrades, harness new abilities, and uncover the many mysteries that each game hold. An endless journey full of wonder awaits just over the crest of the next summit.",76,Miscellaneous|Compilation|,The Alto Collection
"Sep 10, 2020",Bombservice,DANGEN Entertainment,7.0,T,"I think consumers are being overly critical of Minoria.  So far I have played through almost until the very end and it’s at least a solid 8 in my opinion.  I’m an 80’s kid and I just love side scrollers with these more modern graphics.  We would’ve killed for games like this back then!  Minoria is beautiful to look at for me I love the cell shading.  The gameplay and controls are solid.  Personally I like the characters and the gothic environment including the somber, mellow musical score.  Many people don’t like how average enemies can do tons of damage but keep in mind the protagonist is literally a nun wearing zero armor.  I think the difficulty is just about perfect and I would recommend playing Minoria.",76,Action Adventure|Adventure|General|Open-World|,Minoria
"Feb  3, 2021",Lillymo Games,Lillymo Games,6.8,T,"Blast off for a sequel that pushes every facet of 2D shoot'em ups to escape velocity. In the aftermath of a brutal attack on Free Space, humanity sends scout ships to the star system that was at the source of the assault. But when one of the pilots doesn’t return home, it’s up to his daughter -- the talented starpilot Sabrina -- to find him. Habroxia 2 is a non-linear, old-school space shooter with upgrades, boss fights, and even New Game+, all wrapped in a retro package combining pixel graphics, chiptunes, and stellar gameplay.",76,Action|Shooter|Shoot-'Em-Up|Horizontal|,Habroxia 2
"Mar  8, 2022",Take-Two Interactive,2K Games,6.6,T,"Get ripped out of the stands and hit with complete control of the WWE Universe. Hit with the biggest and most realistic-looking WWE Superstars and Legends: The Rock, Sasha Banks, Goldberg, Brock Lesnar & more. Relive pivotal moments in Rey Mysterio’s iconic career in 2K Showcase and 619 your",76,Sports|Individual|Combat|Wrestling|,WWE 2K22
"Oct 23, 2015",Ubisoft Quebec,Ubisoft,6.9,M,"1868 London. The Industrial Revolution. An age of invention and wealth, built on the backs of the working class. As gangster killer Jacob Frye, you recruit a gang to fight for justice on behalf of the oppressed working class. Lead the underworld to reclaim London in an adventure filled with action, intrigue and brutal combat. With Jacob as the leader, players can establish UK's fiercest gang, the only force that can challenge the elite and defeat rival gangs to bring freedom to the oppressed folks. Enemy strongholds can be infiltrated by using an arsenal to dominate London’s underworld. From robbing trains to rescuing child workers, players will do everything they can to bring justice to London’s lawless streets. [Ubisoft]",76,Historic|Action Adventure|Open-World|,Assassin's Creed Syndicate
"Aug 29, 2017",DotEmu,DotEmu,6.8,E,"Windjammers is an arcade-sports game that plays like a cross between volley ball and ice hockey. It was a cult classic on the NEO GEO. Unfortunately, the PS4 port (while sturdy) is only a must-have for hardcore fans. Besides the base game, there are just a few bonus extras. A few mini-games have been added along with the option to play online. Visually, you can choose between two ratio aspects, add scanlines, use a CCR monitor filter or borders. Also, there are two musical soundtracks, the original arcade version or an upgraded remix. Gameplay is simple, but strategic and lots of fun. If you absolutely loved Windjammers back in the day, this is the best way to play it. Overall, I would rate it with an 8 out of 10.",76,Sports|Individual|Other|,WindJammers
"Sep 22, 2015",EA Sports,EA Sports,4.4,E,"Very good game so far. Better than Fifa 15, less momentum, better gameplay, no more long passes, the defense and the goalkeepers are even",82,Sports|Team|Soccer|Sim|,FIFA 16
"Dec  5, 2015",Vlambeer,Vlambeer,6.3,E10+,"Nuclear Throne is a post-apocalyptic roguelike-like top-down shooter. Not 'the final hope of humanity' post-apocalyptic, but 'humanity is extinct and mutants and monsters now roam the world' post-apocalyptic. Fight your way through the wastelands with powerful weaponry, collecting radiation to mutate some new limbs and abilities. ",82,General|Action|General|Shooter|Shoot-'Em-Up|Top-Down|,Nuclear Throne
"Aug 27, 2019",Bugbear,THQ Nordic,7.1,T,"Break the rules and take full-contact racing to the limit with Wreckfest! Expect epic crashes, neck-to-neck fights over the finish line and brand-new ways for metal to bend -- These are the once-in-a-lifetime moments that can only be achieved in Wreckfest, with its true-to-life physics",82,Racing|General|Arcade|Automobile|,Wreckfest
"Oct 15, 2019","Mobius Digital, LLC",Annapurna Interactive,7.6,E10+,"Outer Wilds is an open world mystery about a solar system trapped in an endless time loop. You’re the newest recruit of Outer Wilds Ventures, a fledgling space program searching for answers in a strange, constantly evolving solar system. The planets are packed with hidden locations that change with the passage of time.",82,Action Adventure|Open-World|,Outer Wilds
"Sep 22, 2017",Bandai Namco Games,Bandai Namco Games,6.0,E,"<span class=""blurb blurb_collapsed"">Project CARS 2 is the next evolution in the award-winning racing series, featuring the most iconic cars racing under the most thrilling conditions to deliver the Ultimate Driver Journey.<br/> <br/>Created by gamers, tested by world-class racing drivers from Team SMS-R, and the definitive choice of</span>",82,Racing|Simulation|Automobile|,Project CARS 2
"Nov 20, 2020",Bandai Namco Games,Bandai Namco Games,6.6,E,"The stop-at-nothing pushing prince is back and ready to reroll. When the King of All Cosmos accidentally destroys all the stars in the sky, he orders you, his pint-sized princely son, to put the twinkle back in the heavens above. Join the King and Prince of Cosmos on their wacky adventure to restore the stars now in full HD. The beloved roll-em-up game returns with fully updated graphics, completely recreated cutscenes and in full HD.",82,Action Adventure|General|,Katamari Damacy REROLL
"Dec 17, 2013",Farsight Studios,Alliance Digital Media,6.7,E10+,"This game brought back great memories of playing pinball.  Plus you only have to pay for it one time, not 50 cents every few minutes.  I think the sound, color and themes are just a lot of fun.",82,Action|Miscellaneous|Parlor|Pinball|Pinball|,The Pinball Arcade
"Feb 11, 2020",Ryu ga Gotoku Studios,Sega,8.0,M,"The legendary dragon returns to the criminal underworld of Yakuza. Kazuma Kiryu, once known as the Dragon of Dojima, was living a quiet life as a taxi driver in Hakata after severing all his ties with the underworld.  However, at the dawn of the bloody war between the Tojo Clan and the Omi Alliance, Kazuma is forced to accept his inescapable fate and returns to a life filled with crime and violence to protect his loved ones.",82,Action Adventure|Open-World|,Yakuza 5 Remastered
"Mar 24, 2015",Gearbox Software,2K Games,7.9,M,BUY it! with the price of this game $59.99 your crazy not to buy it. Borderlands The Handsome Collection comes with Borderlands 2 and borderlands the pre-sequel with every DLC ever released this would be cost $399 for $59.99 you are getting everything. Borderlands T.H.C gets a 10/10,82,Miscellaneous|Compilation|,Borderlands: The Handsome Collection
"Mar 12, 2019",Massive Entertainment,Ubisoft,6.2,M,"Set in Washington D.C., the game takes place 7 months after a deadly virus was released in New York City and the nation has become a shell of its former self. While the virus has been contained, its effects are most evident in the devastated streets of the nation's capital where survivors cling to hope and struggle to rebuild. Enter The Division, a unit of civilian sleeper agents who now must work to stop enemy factions from completely taking over the city – and ultimately, the nation. As a universally-regarded seat of power, if D.C. falls, the nation falls. With civilians helpless and fearing for their lives, players will be the last line of defense in preventing the total collapse of society. [Ubisoft]",82,First-Person|Action|Shooter|Third-Person|Tactical|,Tom Clancy's The Division 2
"Aug 22, 2017",Electronic Arts,Electronic Arts,3.4,E,"Madden NFL 18 takes a significant visual leap with the power of the Frostbite engine. See stunning new stadium exteriors surrounded by vast cityscapes and watch the spectacle of NFL gameday come to life in the most photorealistic game to date. Play each matchup to your specifications by selecting from three new Play Styles or play the best real world match ups each week in Play Now Live! With the introduction of even more ways to play, coupled with your modes, Madden Ultimate Team and Franchise, this is Madden like you've never seen before.",82,Sports|Team|Football|Sim|,Madden NFL 18
"Aug 23, 2016",EA Sports,EA Sports,4.1,E,"Madden NFL 17 Franchise = Take your team all the way and put yourself at the center of your team’s Championship run in Franchise mode, delivering new ways to play and more decisions to make. Added features include the practice squad, full-player editing, and the in-game ticker that keeps you updated with scores from around the league. Know your opponents’ tendencies every week, then pick the right drills to attack and counter those tendencies in game. This new level of strategy promises to deliver more variety and more fun when preparing for your next opponent, whether it’s a user or a computer simulated player. [Electronic Arts]",82,Sports|Team|Football|Sim|,Madden NFL 17
"Aug 19, 2016",Codemasters,Codemasters,7.9,E,"Includes the full 2016 season calendar of 21 tracks, including the brand new Baku circuit in Azerbaijan, and the full roster of 22 drivers and 11 teams, including the new Haas F1 Team. F1 2016 immerses you in not only the on-track excitement of a FORMULA ONE career, including the inclusion of the iconic Safety Car and also the Virtual Safety Car for the first time, but also uniquely offers the drama and vehicle development that goes on behind the scenes. Work with your agent, engineer and team to develop your car in the deepest ever career experience, spanning up to ten seasons. Forge your own path to glory, and rise to be the champion. ",82,Racing|Simulation|Automobile|,F1 2016
"Sep  4, 2018",Bungie Software,Activision,6.5,T,"With 2 brand-new destinations to explore, and new weapons, armour and Supers to acquire, Forsaken takes players on an epic journey into the wild frontiers of our solar system where the lines between justice and revenge are blurred. Forsaken also features an all-new competitive and collaborative endgame activity, called Gambit. A first-of-its kind for Destiny, Gambit is a new, hybrid 4v4 mode that merges both PvE and PvP experiences into an epic battle. This entirely new way to play Destiny 2 offers something for all types of gamers to enjoy, appealing to those who thrive on the competitive challenge of PvP gameplay, while seamlessly blending the collaborative and unpredictable elements of PvE. [Bungie] ",82,Action|Shooter|First-Person|Arcade|,Destiny 2: Forsaken
"Sep 10, 2021",Bandai Namco Games,Bandai Namco Games,8.4,T,"<span class=""blurb blurb_collapsed"">Challenge the Fate That Binds You<br/><br/>On the planet Dahna, reverence has always been given to Rena, the planet in the sky, as a land of the righteous and divine. Stories handed down for generations became truth and masked reality for the people of Dahna. For 300 years, Rena has ruled over</span>",82,Role-Playing|Japanese-Style|,Tales of Arise
"Mar 29, 2016",Telltale Games,Telltale Games,7.1,M,This miniseries got a lot better. Captured by the enemy these decisions are fun and interesting although I am sick of hearing about Michonne’s kids as she gets over them in the comics.,82,Adventure|3D|Third-Person|,The Walking Dead: Michonne - Episode 2: Give No Shelter
"Oct  8, 2019",Playtonic Games,Team17,7.1,E,"<span class=""blurb blurb_collapsed"">Yooka &amp; Laylee are back in a brand-new platform hybrid adventure. They must run, jump and roll their way through a series of challenging 2D levels, face a puzzling Overworld and rally the Royal Bee-tallion to take down Capital B and his Impossible Lair. <br/>* The overworld isn't just a hub to</span>",82,Action|Platformer|2D|,Yooka-Laylee and the Impossible Lair
"Jul 28, 2015",Metanet Software Inc.,Metanet Software Inc.,6.6,E10+,This game is platforming boiled down till its minimalist essence and then perfected to the Nth (heh) degree. You are given a single screen,82,Platformer|2D|Action|Platformer|2D|,N++
"Nov 11, 2014",Konami,Konami,7.1,E,"Master a renewed array of dribbling techniques and use your speed, runs and responsive sprints to outdo your opponents. Accost defenders using each player’s dribbling skills, as opposed to relying on gimmick moves. Gamers now have full control over when to close down, tackle, or hold up play. Successful defending is based solely on the decisions the gamer makes. PES 2015 now reflects the atmosphere of a top-tier match. Fan animations have been enhanced, and the ebb and flow of a match is met with context-sensitive crowd effects and movements. ",82,Action|General|Sports|Traditional|Team|Soccer|Sim|,Pro Evolution Soccer 2015
"Feb 25, 2022",Gust,Koei Tecmo Games,8.0,T,"<span class=""blurb blurb_collapsed"">A mysterious story of a mysterious dream...<br/>One of the stories experienced throughout the Alchemist Sophie’s many adventures, as she continued her travels after leaving her hometown of Kirchen Bell.<br/>This is Sophie’s adventure as she searches for her friend Plachta in the dream world Erde</span>",82,Role-Playing|Japanese-Style|,Atelier Sophie 2: The Alchemist of the Mysterious Dream
"Jun 16, 2020",Mimimi Productions,THQ Nordic,7.8,M,"On his epic journey through 1870s USA and Mexico, John Cooper will have to take responsibility for mistakes that have been made in the past. On his quest for redemption, Cooper joins forces with the runaway bride Kate O'Hara, shady Arthur ""Doc"" McCoy, the giant trapper Hector and a",82,Strategy|Real-Time|Tactics|,Desperados III
"Mar 12, 2019",Seaven Studio,SeithCG,7.3,E10+,The game to its credit is a nice game if you like finding objects for puzzles.   There a few  flaws  mainly with the arsonist trophy however,82,Action Adventure|General|,Ghost of a Tale
"Mar 28, 2017",From Software,Bandai Namco Games,8.4,M,"The Ringed City is the final DLC pack for Dark Souls III. Journey to the world’s end to search for the Ringed City and encounter new lands, new bosses, new enemies with new armor, magic and items. Experience the epic final chapter of a dark world that could only be created by the mind of Hidetaka Miyazaki. ",82,Role-Playing|Action RPG|,Dark Souls III: The Ringed City
"Jun 25, 2015",Edelweiss,Playism,7.0,E10+,"<span class=""blurb blurb_collapsed"">Humanity Fights A Losing Galactic War!<br/>Their Only Hope: a Young Pilot and a Girl Forever Changed.<br/>
You are Roy Becket, a young pilot with dreams of becoming as skilled as his adoptive father. When a galactic war with an ancient mechanical alien race reaches its boiling point, Roy is</span>",82,Action|Shooter|Scrolling|Shoot-'Em-Up|Vertical|Horizontal|,Astebreed
"Jul 27, 2021",Capcom,Capcom,6.6,T,"With all the fun and drama of the Ace Attorney series set against the backdrop of Victorian-era Britain and Japan, there's sure to be no ""Objection!"" to the adventures of Ryunosuke Naruhodo as he turns the courtroom upside down. Featuring an intriguing overarching mystery spanning across two games, it promises to be the most engrossing story in the series yet. [Capcom]",82,Miscellaneous|Compilation|,The Great Ace Attorney Chronicles
"Dec 13, 2016",Schell Games,Schell Games,7.5,E10+,"​​I Expect You To Die is a virtual reality puzzler that thrust you in the shoes of an elite secret agent. You must attempt to survive deadly situations in immersive and dangerous locales. Complete each operation using problem-solving skills and wits… oh, and the power of telekinesis that all our agents are equipped with.",82,Adventure|3D|First-Person|,I Expect You To Die
"Feb 17, 2022",SNK Corporation,Koch Media,6.7,T,"Since its debut in 1994, the KOF fighting game series has been driving the world to excitement with its appealing characters and unique game system. Six years have passed since the last title in the series, and now KOF XV surpasses all of its predecessors in terms of graphics, systems, and",82,Action|Fighting|2D|,The King of Fighters XV
"Jul 10, 2019",Mixed Realms Pte Ltd,Mixed Realms Pte Ltd,6.1,M,"The progression feels like you're dragging yourself on the ground (not very ninja like), the graphics are mediocre with an 80s uninspiring vibe to it....I don't see what the reviewers liked about this game.",82,Action|Shooter|Light Gun|,Sairento VR
"May 12, 2020",Coffee Stain Studios,Coffee Stain Studios,7.6,T,"""He was a man since he was a boy"". This IS the best and most entertaining arcade shooter I've ever played! The graphics, music, sound effects",82,Action|General|Platformer|2D|,Huntdown
"Aug  4, 2015",17-Bit,17-Bit,7.1,E10+,"Very addictive game, I got hooked fast.  It's a great game with a steep difficulty curve for the first two 'seasons'.  I died many times",82,General|Shooter|Scrolling|Scrolling|Action|Shooter|Shoot-'Em-Up|Vertical|,Galak-Z: The Dimensional
"May  6, 2014",Die Gute Fabrik,Die Gute Fabrik,6.3,E10+,"Sportsfriends is a tight-knit compendium of local multiplayer games for living rooms, parties, and even backyards. Features: retro-styled fighting game BaraBariBall, QWOP-like pole vault dueling game Super Pole Riders, high-velocity sports game Hokra, and face-to-face physical party game Johann Sebastian Joust.",82,Sports|Miscellaneous|General|Party|Party / Minigame|,Sportsfriends
"Sep  1, 2015",Capy Games,Capy Games,6.6,T,"Super Time Force is an action-packed platformer with a time-travelling twist! Youre in control of time itself, bending and stretching it to your advantage on the battlefield. Rewind time and choose when to jump back into the action, teaming-up with your past selves in a unique single-player co-op experience! Take control of up to 16 unique characters, and battle across 6 different time periods, from the long-ago past to the far-away future.",82,Shooter|Shoot-'Em-Up|Vertical|Action|Platformer|2D|,Super Time Force Ultra
"Feb 25, 2015",Zen Studios,Zen Studios,6.9,None,None,82,Action|Pinball|,ZEN Pinball 2: Iron & Steel Pack
"Sep 27, 2016",Blue Castle Games,Capcom,7.2,M,"One of my favourite games ever, now on Playstation 4 with a stable framerate and graphical improvements. I do prefer Off The Record, but the original Dead Rising 2 is a classic. If you're gonna play this game, play it on the PS4.",82,Action Adventure|Open-World|,Dead Rising 2
"Sep 26, 2017",Splashteam,Plug In Digital,tbd,T,"Brilliant platformer. Fast paced. Quite unique mechanics in the genre. Good learning curve. Medium difficulty. You should be prepared for a bit of frustration and challenge but nothing that cannot be overcome. Checkpoints are quite generous. Controls can be finicky at times when you need to splash some of the paint (the yellow bouncing one, for instance) downwards while running but with practice you can get through. Overall a thoroughly enjoyable experience.",82,Action|Platformer|2D|,Splasher
"May 24, 2018",Level Up Labs,Level Up Labs,4.1,T,"<span class=""blurb blurb_collapsed"">Story ⅖ unaspiring<br/>+transition to mid-world is well explained<br/>-story is stagnating until another level
-bland characters, uninteresting</span>",82,Strategy|Real-Time|General|,Defender's Quest: Valley of the Forgotten DX Edition
"May 24, 2018",Inti Creates,Inti Creates,8.2,T,"Battle with swords and whips in this retro-style action game brought to you by game creator Koji Igarashi and Inti Creates. Play as Zangetsu, a demon slayer bearing a deep grudge, who must travel through perilous lands to defeat a powerful demon lurking in a dark castle. Zangetsu will meet fellow travelers along the way, who can join your journey as playable characters. Switching to these characters with their unique abilities will unlock new paths through the treacherous stages. Your choices in recruiting these adventurers will change the difficulty of the game, and may even affect the ending. *Bloodstained: Curse of the Moon is the 8-bit style game promised as a stretch goal of the 2015 Kickstarter campaign for ""Bloodstained: Ritual of the Night.""",82,Action|Action Adventure|Platformer|Open-World|2D|,Bloodstained: Curse of the Moon
"Nov  9, 2018",Io Interactive,Warner Bros. Interactive Entertainment,8.3,M,"Travel the globe and track your targets across exotic sandbox locations in Hitman 2. From sun-drenched streets to dark and dangerous rainforests, nowhere is safe from the world's most deadly assassin, Agent 47. Prepare to experience the ultimate spy thriller story -- your mission is to eliminate the elusive Shadow Client and unravel his militia, but upon learning your target's true identity and the truth about 47's past, nothing will ever be the same.",82,Action Adventure|General|,Hitman 2
"Jul 29, 2021",StudioInkyfox,Future Friends Games,6.1,E,"Very beautiful and atmospheric game. You play a mysterious character that evolves in a rich and detailed landscape full of amazing creatures. If you like games such as Journey, Flower, Abzû, or RiME, that will be your type of game. Some people may complain that game is a bit short (4hrs) for the price; think about the fact this is a solo game dev and only one guy did that. Just for that, it is worth the price to see what he did, very impressive!",82,Adventure|3D|Third-Person|,OMNO
"Nov  8, 2019",Kojima Productions,Kojima Productions,7.3,M,"Besieged by death's tide at every turn Sam Bridges must brave a world utterly transformed by the Death Stranding. Carrying the stranded remnants of the future in his hands, Sam embarks on a journey to reunite the shattered world one step at a time. What is the mystery of the Death Stranding? What will Sam discover on the road ahead? A genre defining gameplay experience holds these answers and more.",82,Action|Action Adventure|General|Open-World|,Death Stranding
