summary,release_date,publisher,metascore,title,genres,userscore,developer,rating
"<span class=""blurb blurb_collapsed"">In 1972 a crack commando squad threw you in prison for a crime you didn't commit. You promptly escaped from a maximum-security stockade to the underground trying to survive from these soldiers of fortune.<br/><br/>UnMetal is a 2D stealth/action game (with a bit of humor) where the goal is to escape</span>","Sep 28, 2021",@unepic_fran,82,UnMetal,Action Adventure|General|,8.1,@unepic_fran,None
"<span class=""blurb blurb_collapsed"">Duelyst is a tactical turn-based strategy game with a heavy focus on ranked competitive play, brought to you by veteran developers and creators from Diablo III, Rogue Legacy and the Ratchet &amp; Clank series. <br/>The world of Duelyst has an expansive identity and mythology, with gorgeous</span>","May  3, 2016",Counterplay Games,82,Duelyst,Fantasy|Strategy|Turn-Based|General|,7.7,Counterplay Games,None
"Red Alert 3 breaks new ground in the RTS genre, featuring a fully co-operative campaign while bringing back the series’ light-hearted style and classic, action-oriented gameplay. In Red Alert 3, the desperate leadership of a doomed Soviet Union travels back in time to change history and restore the glory of Mother Russia. The time travel mission goes awry, creating an alternate timeline where technology has followed an entirely different evolution, a new superpower has been thrust on to the world stage, and World War III is raging. The Empire of the Rising Sun has risen in the East, making World War III a three-way struggle between the Soviets, the Allies, and the Empire with armies fielding wacky and wonderful weapons and technologies like Tesla coils, heavily armed War Blimps, teleportation, armored bears, intelligent dolphins, floating island fortresses, and transforming tanks. Red Alert 3 asks the question ""What If?"" What if every bizarre research project and technology experiment for the last 70 years had actually borne fruit? What if the Philadelphia Experiment, time travel theory, teleportation, invisibility, Tesla technology, and a hundred other intriguing research projects had all paid off and gone mainstream? What if the Soviet Union survived and thrived; what would it look like 10 years in the future? What if the Japanese Empire had never fallen and instead became the ultimate high-tech military superpower?  The end result is an imaginative and playful vision of an alternate future filled with possibility. [Electronic Arts]","Oct 28, 2008",Electronic Arts,82,Command & Conquer: Red Alert 3,Strategy|Real-Time|Sci-Fi|Sci-Fi|General|,6.9,EA LA,T
"Episode one of a five-part game series set in the same universe as Robert Kirkman’s award-winning series. Play as Lee Everett, the convicted criminal who has been given a second chance at life in a world devastated by the undead. Experience events, meet people and visit locations that foreshadow the story of Deputy Sheriff Rick Grimes. A honed game experience in which actions, choices and decisions you make will affect how your story plays out across the entire series.","Apr 24, 2012",Telltale Games,82,The Walking Dead: Episode 1 - A New Day,Action|Miscellaneous|Adventure|General|Compilation|Point-and-Click|,8.3,Telltale Games,M
"The Sims: Livin' Large is a great first expansion to The Sims, and I can't think that I could ever play The Sims 1 without it. The expansion","Aug 27, 2000",EA Games,82,The Sims: Livin' Large,Simulation|Miscellaneous|Virtual Life|Virtual|Virtual Life|,7.4,Maxis,T
"In Waves, the player controls a heavily armed ball. The goal is to clear the board of enemies while racking up a big fat Combo with swift kills and well timed Bombs and if it all gets a bit too much you can use your ""Time Buffer"" to slow down the action and turn defeat into victory. Players can compete across five different game modes with online high-score tables and Achievements in their pursuit of perfection.","Nov 16, 2011",Squid In A Box,82,Waves,Action|General|General|,7.7,Squid In A Box,None
"Syberia is a pure adventure game, where the player will discover a magical world of automatons and meet amazing and intriguing characters in 4 mysterious and incredibly beautiful, realistic and detailed European environments. Syberia is a 3rd person perspective single-player, adventure game using unequalled graphics with 3D characters, with a rich and evolving storyline and a cast of very intriguing and interesting characters.","Sep  1, 2002",The Adventure Company,82,Syberia,Adventure|3D|Fantasy|Third-Person|Fantasy|,8.5,Microids,T
"There's just not very much to do, and what can be done is not very interesting or deep. It plays like a game that is more about looks than mechanics, but it looks like a game that is more about gameplay than visuals.","Apr 28, 2022",Toukana Interactive,82,Dorfromantik,Strategy|Turn-Based|General|,tbd,Toukana Interactive,None
"In Kelly Slater's Pro Surfer, players experience an all-out adrenaline rush as they drop down huge wave faces, pull into barreling tube rides and pull off hundreds of massive trick combinations and signature pro moves. Players choose their own path as they interact with famous surfers, sponsors, magazines and photographers. Exotic real world locations and events including full beach environments with real landmarks and hazards lend authenticity to the game. Multiple modes of play let gamers choose from Career Mode, Free Surf and multiplayer games and each mode unlocks new riders, boards, events, videos and secret breaks. Kelly Slater's Pro Surfer features ultra-realistic ocean conditions including barrels and tubes, and is the only surfing game to have populated waves, where gamers can ride alongside other surfers. Players can also use the Record Book feature to track individual rider stats and world records set throughout the game. [Aspyr Media]","Oct 15, 2003",Aspyr,82,Kelly Slater's Pro Surfer,Sports|Alternative|Individual|Surfing|Surfing|Surf / Wakeboard|,7.8,Beenox,T
"Welcome to Earth & Beyond, the first online role-playing galaxy. It's your turn to pilot your own starship, adventure in a massive galaxy, and take part in a thriving community. Alien encounters, fierce combat, cutthroat commerce, new discoveries, perilous quests, strategic alliances, diplomatic backstabbing, and epic wars await you and the friends you meet online. Earth & Beyond allows you to build your character and career in three distinct ways: exploration, trade and combat. The game is designed around these three activities, and each race, profession, skill, starship and item affects how well you excel in these core activities. [Electronic Arts]","Sep  2, 2002",Electronic Arts,82,Earth & Beyond,Role-Playing|Massively Multiplayer Online|Massively Multiplayer|Sci-Fi|Sci-Fi|,7.1,Westwood Studios,T
 I discovered VP3 in 2002... It's now 2005 and I still haven't found a pool game that comes close. Online play is great fun and it really does improve your real game.,"Nov 14, 2000",Interplay,82,Virtual Pool 3,Sports|Miscellaneous|Parlor|Individual|Billiards|Billiards|,7.1,Celeris,E
"The newest version of the best-selling golf simulator of all-time features improved graphics, six brand-new championship courses, high-resolution 3D characters, a Dynamic Camera that lets you to see your shot from different perspectives, and improved putting with a new 3D Green Analyzer. Links 2003 also brings improvements to the powerful Arnold Palmer Course Designer - the same 3D course architecture tool used by the Links team to create course graphics in stunning photorealistic detail. [Microsoft]","Sep 16, 2002",Microsoft Game Studios,82,Links 2003,Sports|Traditional|Individual|Golf|Sim|Sim|,6.8,Microsoft Game Studios,E
"DCS: Black Shark is a PC game of the Russian Ka-50 attack helicopter and is the first title in a new Eagle Dynamics and The Fighter Collection simulation series: Digital Combat Simulator (DCS). Following Eagle Dynamics' tradition of excellence, ""DCS: Black Shark"" will bring an even more realistic simulation experience than its predecessor ""Flaming Cliffs"". DCS: Black Shark will offer an unprecedented level of realism in regards to flight dynamics, instruments modeling, avionics systems, and weapon systems. The artificial Intelligence of ground vehicles and helicopters has been improved dramatically as well as weapon modeling. A new Mission Editor includes a powerful electronic mapping system that allows user to easily create missions and campaigns. A new campaign system allows the front line of the battlefield to move back and fourth according to your mission success or failure. [Eagle Dynamics]","Apr 13, 2009",Take-Two Interactive,82,DCS: Black Shark,Simulation|Flight|Helicopter|Helicopter|Civilian|,8.5,Eagle Dynamics,T
"King's Bounty: Armored Princess is a sequel to the critically acclaimed King's Bounty: The Legend. Players take on the role of Princess Amelie who travels around the world of Teana and searches for the renowned knight, and her mentor, Bill Gilbert. This new world of King's Bounty: Armored Princess is full of mysteries and dangers. The new character, the Princess, will encounter horrible creatures, huge monstrous bosses and a new race, the bloodthirsty Lizards. As in the multi-award winning game on which this sequel is based, the player has many options to resist these new enemies. Various new skills and characteristics of Amelie as well as her chance to fly will help her overcome the hordes attacking the kingdom. The Princess is also accompanied by a Domestic Dragon, at the very beginning small and amusing, but its abilities develop steadily until it becomes an incredible ally. He will do his best to protect the Princess during the battles, starting with easy blows and treasure hunting and finishing with battle rage and volcano summoning. [1C Company]","Nov 19, 2009",ValuSoft,82,King's Bounty: Armored Princess,Role-Playing|Strategy|Turn-Based|General|General|,8.6,Katauri Interactive,T
"Cool game, fast and twitchy as F***. Loved it all the way. It's got that 'just one more play' drug, but without stressing you out and making the experience drag or even suck long term.","Aug 31, 2016",ThirtyThree Games,82,Atomik: RunGunJumpGun,Action|Shooter|Shoot-'Em-Up|Horizontal|,7.4,ThirtyThree Games,E10+
"Funny little Racer. Really nice controls ensign content for hours of fun. Weekly time challenges, online mode. Nice graphics. One of the better Top Down Racer in the market.","Oct 12, 2021",Square Enix,82,Circuit Superstars,Racing|Arcade|Automobile|,8.5,Original Fire Games,E
"Sonny Featherland and Marty MacChicken were once legendary detective partners in Clawville PD. Predatory division, nicknamed as the Chicken Police. But that was a decade ago and time had passed them by... Sonny is a semi-alcoholic wreck of a bird on paid leave, while Marty still hides behind","Nov  5, 2020",The Wild Gentlemen,82,Chicken Police - Paint it RED!,Adventure|Visual Novel|,7.8,The Wild Gentlemen,M
"Monster Hunter Stories 2: Wings of Ruin offers both RPG and Monster Hunter fans a unique new experience with a rich storyline featuring charming characters, challenging quests and friendly encounters with familiar monsters from the Monster Hunter series. Assuming the role of a young Monster Rider who can use a Kinship Stone to form strong bonds with monsters, players can gain experience and improve their skills to form deeper connections with these wonderful creatures. When ready, players can embark on memorable adventures filled with dramatic events and heartwarming friendships as the epic tale unfolds.","Jul  9, 2021",Capcom,82,Monster Hunter Stories 2: Wings of Ruin,Role-Playing|Japanese-Style|,7.8,Capcom,E10+
"A wonderful, cute little adventure game with a good story, minor RPG elements, some light hearted humor and plenty of content, Creepy Castle promises and it delivers. The game is segmented across 5 different scenarios, which I will cover in as brief and non-spoilery a way as possible: The first scenario, Creepy Castle, is the only one you have unlocked to begin with, and your character, Moth, is tasked with entering the creepy castle and figuring out what's going on inside. After that, you unlock 3 of the remaining 4 scenarios (the other one is best left as a surprise): Ghostly Mystery, Depth, and Due Exaltation, which are all branches off of the original story. Ghostly Mystery involves you delving into the mysterious ghost palace shortly after the events of the first scenario, and is thematically similar to it as well. The next scenario, Depth, is all about being hopelessly lost in a labyrinthine cave system, and sadly this has little story until the end. Next is Due Exaltation, a space adventure where you... actually, I think I'll leave that for you to find out. After a scenario is completed, you will usually be given the scenario's free mode, where you can replay the scenario with any character you wish. As for the quality of the game, it is an indie gem.","Oct 31, 2016",Nicalis,82,Creepy Castle,Action|Platformer|2D|,6.6,Dopterra,None
None,"Jan  6, 2017",Merge Games,82,HoPiKo,Action|General|Arcade|,tbd,Laser Dog,None
"Great DLC which adds new features and make game play more interesting. Mythical city upgrades definitely was super innovation which could change your battle experience. Buy it, you wouldn't regret it.","Sep 18, 2014",Triumph Studios,82,Age of Wonders III - Golden Realms,Fantasy|Strategy|Turn-Based|General|,8.7,Triumph Studios,None
"Divertidísimo de principio a fin. Rejugable millones de veces (sobre todo, si eres fan del lore de Warhammer). Eso sí, espero que la tercera parte sea más larga aún, porque te quedas con ganas de más. Mi juego de combate a melé favorito, sin lugar a dudas.","Mar  8, 2018",Fatshark AB,82,Warhammer: Vermintide 2,Action|Shooter|First-Person|Arcade|,7.4,Fatshark AB,None
Gears of War vai ser melhor que Last of Us. Um grande jogo de todos os tempos. Está melhor console definitivo dessa geração para Xbox ONE pelo Gamepass do meu irmão essa semana,"Sep 10, 2019",Microsoft Game Studios,82,Gears 5,Action|Shooter|Third-Person|Arcade|,6.9,The Coalition,M
"Trogdor must be stopped! The beefy-armed dragon of legend has broken free from his arcade cabinet and is burninating the land. With classic 8-bit games leaking into the real world and Strong Badia a fiery mess, only Strong Bad can take back the night and conquer this scorching menace once and for all. Does anybody know how to kill a dragon? [TellTale Games]","Dec 15, 2008",Telltale Games,82,Strong Bad's Cool Game for Attractive People Episode 5: 8-Bit Is Enough,Miscellaneous|Adventure|General|Compilation|,7.2,Telltale Games,E10+
"Set in a land rooted in ancient Persian mythology, the Prince finds himself caught in an epic battle between the primal forces of light and darkness: the God of Light, Ormazd versus his brother Ahriman, the destructive God of Darkness. The Prince arrives just in time to witness the destruction of the legendary Tree of Life - an act which threatens to plunge the entire world into eternal darkness. Manifested in the form of the Corruption, a dark substance that physically contaminates the land and the skies, the Prince must partner with Elika, a deadly companion, to heal the world from the evil Corruption. [Ubisoft]","Dec  9, 2008",Ubisoft,82,Prince of Persia,Action Adventure|Fantasy|General|Fantasy|,7.3,Ubisoft Montreal,T
Finally a game where I can live my nostalgic childhood of games like Fire Emblem and Advance Wars. On top of the fact that maps can be created,"Feb  1, 2019",Chucklefish,82,Wargroove,General|Strategy|Turn-Based|Tactics|,6.0,Chucklefish,E10+
"Set in Indonesia in the near future, Joint Operations takes the player to a country on the verge of disintegration. Regional independence movements have acquired advanced weaponry as the nation's military splits into competing factions. Escalating violence threatens innocent civilians and Western economic interests. [NovaLogic]","Jun 15, 2004",NovaLogic,82,Joint Operations: Typhoon Rising,Action|Shooter|Shooter|First-Person|Tactical|Modern|Modern|,8.5,NovaLogic,T
"Xpand Rally is a breathtaking game that gives you the true to life experience of driving powerful rally cars amidst photorealistic sceneries. Realistic weather effects, rolling hills, and animated scenery all add to game's visual perfection. Xpand Rally also features highly detailed models of modern rally cars and handling physics developed with the help of rally sport professionals which further enhance the realism of driving experience. Xpand Rally combines the best elements of Rally and Rally Cross racing in one unique gaming experience. The game offers a career mode based on time trials during both: individual races and World Championship Series which will satisfy traditional Rally fans. The Rally Cross fans won't be disappointed either - they can challenge several opponents in head to head racing during competitions based on real and fictitious race events. Xpand Rally, as the only title on the market, brings the economy factor into a rally game. The player starts with a junk car and competes in races to earn money and acquire upgrades, repair damage, tweak performance and pay the race entry fees. [Techland]","Apr 20, 2006",TopWare Interactive,82,Xpand Rally,Driving|Racing|Simulation|Rally / Offroad|Rally / Offroad|Automobile|,7.3,Techland,E
"<span class=""blurb blurb_collapsed"">Sakuna: Of Rice and Ruin is the forthcoming title from Edelweiss.<br/><br/>Sakuna: Of Rice and Ruin combines side-scrolling action with deep crafting and farming simulation. Players take on the role of Sakuna, a spoiled harvest goddess banished to a dangerous island with a group of outcast humans.</span>","Nov 10, 2020",XSEED Games,82,Sakuna: Of Rice and Ruin,Role-Playing|Action RPG|,7.2,Edelweiss,T
"You awaken aboard Talos I, a space station orbiting the moon in the year 2032. You are the key subject in an experiment meant to change humanity forever – but things have gone terribly wrong. The space station has been overrun by hostile aliens and you are now being hunted. As you delve into the dark secrets of Talos I and your own past, you have to survive using the tools found on the station, your wits, weapons, and mind-bending abilities. [Bethesda Softworks]","May  5, 2017",Bethesda Softworks,82,Prey,General|Action|Role-Playing|Shooter|Action RPG|First-Person|Arcade|,8.2,Arkane Studios,M
"Embark on a journey to reclaim a crown that Drangleic's King Vendrick once owned. This perilous quest will lead you through an entirely different world within the Dark Souls II universe, where stepped pyramids span a vast underground cavern. It is said that one of the ancient crowns lay buried deep within these dark caverns; but surely such a valued item cannot sit unguarded. Explore in search of a crown that holds the strength of lords from times long past.","Jul 22, 2014",Bandai Namco Games,82,Dark Souls II: Crown of the Sunken King,Role-Playing|Action RPG|,7.5,Namco Bandai Games,T
In 1998 a special forces team was sent to investigate some bizarre murders on the outskirts of Raccoon City. Upon arrival they were attacked by a pack of blood-thirsty dogs and were forced to take cover in a nearby mansion. But the scent of death hung heavy in the air. Supplies were scarce as they struggled to stay alive. ,"Jan 20, 2015",Capcom,82,Resident Evil HD Remaster,Action Adventure|Horror|Survival|,8.5,Capcom,M
"justice es el mejor álbum de Justin, cada canción lo representa increíblemente bien y estoy orgullosa de lo mucho que creció y maduro, sus vocals son increíbles Justin el rey","Mar  4, 2021",Devolver Digital,82,Loop Hero,Role-Playing|General|,8.0,Four Quarters,None
"Both RTS and Role-Playing gamers will enjoy the experience of becoming the young Warrior Larax, who after losing his beloved one, has given himself to the goddess of war, Kathubodua. In strategic mode, you play against computer opponents or other players on the Internet exercising your strategic and tactical skills to achieve objective victory. You train and command many units, hire and develop heroes, acquire powerful artefacts and conquer strongholds and villages. Launch large-scale military campaigns against your foes to bring them to their knees. The game-play in this mode is similar to the traditional RTS gameplay. In adventure mode, you control a party of heroes and explore the world as the struggle between Caesar and the Gaul chieftain evolves. Which side you will support? Will you betray your allies of yesterday? Will you follow the mysterious druids as they request your assistance? Command strongholds and large armies; take risky missions behind the enemy lines. Find powerful artefacts to support you. [Strategy First]","Aug 21, 2002",Strategy First,82,Celtic Kings: Rage of War,Strategy|Real-Time|Historic|General|Historic|,7.4,Haemimont,E
Scars of Velious is the single greatest expansion pack ever released for any game.  Velious set a bar which Everquest expansions would never reach again.,"Dec  4, 2000",Sony Online Entertainment,82,EverQuest: The Scars of Velious,Role-Playing|Massively Multiplayer Online|Massively Multiplayer|Fantasy|Fantasy|,7.3,Sony Online Entertainment,T
" Well, I would rate it that, wouldn't I! :) But seriously, what a great team it was that put it all together. I flew a few multiplayer missions in the fighters in development and it was the best multiplayer experience ever. If only we'd had time to implement it on the B-17s and test it so it could have been released...","Dec 13, 2000",Atari,82,B-17 Flying Fortress: The Mighty 8th,Simulation|Flight|WWII|WWII|Combat|,7.3,Wayward Simulations,M
"The year is 2034. Beneath the rubble of post-apocalyptic Moscow, in the tunnels of the Metro, the remnants of our species are besieged by deadly threats. Mutants stalk the catacombs beneath the desolate surface, and hunt amidst the poisoned skies above. But rather than stand united, the station-cities of the Metro are engaged in a struggle for the ultimate power, a doomsday device from the military vaults of D6. A civil war is stirring that could wipe humanity from the face of the earth forever. As Artyom, burdened by guilt but driven by hope, you hold the key to our survival – the last light in our darkest hour.","May 13, 2013",Deep Silver,82,Metro: Last Light,Action|Shooter|Shooter|First-Person|Sci-Fi|Sci-Fi|Arcade|,8.5,4A Games,M
"Rising Storm is the next game in the Red Orchestra franchise. You know the gameplay, features and realistic audio and graphics of RO2 - Rising Storm will take this to the Pacific Theater, adding even more features, new levels, new weapons and new factions. The game allows the player to fight across iconic locations from the famous island-hopping campaigns in the Pacific from 1942 to 1945, as the US Army and Marine Corps fight it out with the Imperial Japanese army and Special Naval Landing Forces. Players experience beach assaults, jungle fighting, close quarters night fighting and more across Guadalcanal, Iwo Jima and Saipan, among other iconic battles. The player is able to take the part of either side – American or Japanese – battling it out online in multiplayer on up to 64-player servers. Rising Storm also introduces an entirely new type of gameplay to the franchise - asymmetrical warfare. The American’s have the apparent advantage in firepower with their fast firing semi-automatic rifles, fully automatic weapons, and devastating flamethrower. The Japanese balance this out with gameplay elements that model their raw courage, ferocity, and cunning use of equipment. Their knee mortars allow them to rain indirect fire down on their enemies from anywhere in the map. Grenades can be planted and turned into booby-traps for unwary GIs. The Japanese put very high store on close-quarter combat, with a bayonet on almost every weapon – even machine guns and SMGs. Their banzai charge suppresses the enemy making it difficult for them to return fire and gives them an opportunity to close in to use bayonets and katanas on their opponents.","May 30, 2013",Tripwire Interactive,82,Rising Storm,Action|Shooter|Shooter|First-Person|Historic|Arcade|,8.4,Antimatter Games,None
"Lethal League is a competitive projectile fighting game where the goal is to launch a ball into the face of your opponent. Lethal League first gained notoriety when it was featured as the grand final ‘Mystery Game’ on UFGT9. It quickly became clear that the extreme nature of the game, mixed with the stylized street visuals and chip-hop music hit a sweet spot with the crowd.","Aug 27, 2014",Reptile,82,Lethal League,Action|Fighting|2D|,7.7,Reptile,None
It's an interesting game that combines a number of trends into something that ALMOST works.  Additional playtesting would have paid off for the developer.,"Dec 22, 2020",Cassel Games,82,Ratropolis,Strategy|Real-Time|General|,6.0,Cassel Games,None
Another masterpiece from Amanita Design. Great visuals and stylization with breathtaking sounds and music from DVA band and funny puzzles. I am glad for preordering.,"Apr 19, 2012",Amanita Design,82,Botanicula,Adventure|General|Third-Person|General|Point-and-Click|Fantasy|,8.4,Amanita Design,None
"I had a great evening playing ""a short hike"". Just a few hours where I enjoyed the dialogs, the music, the pixel graphics... It was a calm, fun and relaxing experience, like a short hike :)","Jul 30, 2019",adamgryu,82,A Short Hike,Adventure|General|,8.6,adamgryu,E
"Darkest Dungeon®: The Crimson Court is the first expansion for the award-winning grim and gothic RPG by Red Hook Studios. Crimson Court is a parallel campaign experienced alongside the main Darkest Dungeon content that will provide you with new challenges and variation at every difficulty level. The narrative grounding sheds some light on the Ancestor’s early days, and will be presented in the same style of cut-scenes you’ve seen elsewhere in the game.","Jun 19, 2017",Red Hook Studios,82,Darkest Dungeon: The Crimson Court,Role-Playing|General|,6.8,Red Hook Studios,T
"In Plants vs. Zombies Garden Warfare 2, the zombies have conquered, and the plants are on the attack for the first time in this  shooter. In your Backyard Battleground you can edit your character’s abilities and customizations, choose quests, jump into co-op or multiplayer action modes, or invite up to three friends in to your backyard to start a party and take on AI – defeat a wave, and a more powerful wave will show up. You can also switch teams to challenge your friends. Backyard Battleground is your own frontline base to plan your attack before you enter the battle for Zomburbia. [EA]","Feb 23, 2016",Electronic Arts,82,Plants vs Zombies: Garden Warfare 2,Action|Shooter|Third-Person|Tactical|,7.6,PopCap,E10+
"<span class=""blurb blurb_collapsed"">She Remembered Caterpillars is a gorgeous hand crafted puzzle game.<br/> <br/>The game is great, the art style is superb the soundtrack is also</span>","Jan 17, 2017",Ysbryd Games,82,She Remembered Caterpillars,Puzzle|Action|,5.8,Ysbryd Games,None
"This game is not for everyone.  Already from the title you should be able to tell it is a word game.  If you don't enjoy things like scrabble then you won't enjoy this game.  It's as simple as that.  For those of you who do enjoy words, then this game is a hilarious and entertaining way to brush up on your English skills, but have it still feel like you're playing a real game.","Dec 20, 2006",PopCap,82,Bookworm Adventures Deluxe,Miscellaneous|Puzzle|Puzzle|General|Puzzle|Logic|General|,8.0,PopCap,E10+
"<span class=""blurb blurb_collapsed"">fifa fanboys ? shut up. i don't care about graphics. 10 years old idiots<br/>OH MY GAWD DIS GAME LOOK LAIKE 2005 OH MY GAWD I AM FIFA FANGAY.</span>","Nov 13, 2014",Konami,82,Pro Evolution Soccer 2015,Sports|Traditional|Team|Soccer|Sim|,5.6,Konami,None
"The Lord of the Rings, The Battle for Middle-earth is an unprecedented real-time strategy game that delivers the epic scope and depth of J.R.R. Tolkien's amazing world. You are in complete control of the epic battles as depicted in all three installments of the blockbuster The Lord of the Rings movie trilogy. From waging all-out combat among Middle-earth’s vast armies to controlling your favorite heroes while managing the resources of your side, the fate of a living, breathing Middle-earth is in your hands. Built upon the acclaimed ""Command & Conquer Generals"" 3D game engine, The Battle for Middle-earth allows you to command the forces of light or darkness in two separate campaigns. You'll have to choose your forces wisely, since each army has its own unique strengths and weaknesses. Complete with all of the epic music, actor voices, and other film assets seamlessly integrated into the game, The Battle for Middle-earth offers a truly memorable entertainment experience. Command the heroes and armies of Middle-earth in over 25 missions based on all three films. Control one of four unique sides, each with its own playing styles, resource management, and base-building techniques. [Electronic Arts]","Dec  6, 2004",Electronic Arts,82,The Lord of the Rings: The Battle for Middle-Earth,Strategy|Real-Time|Fantasy|General|Fantasy|,8.6,EA LA,T
"When assassins from Agent 47's contract agency, The ICA, are systematically eliminated in a series of hits, it seems a larger, more powerful agency has entered the fray. For Agent 47 it's business as usual, until suddenly he loses contact with The ICA. Sensing that he may be the next target, he travels to America, where he prepares to make a killing. Agent 47 is back and this time he's paid in cold, hard cash. How the money is spent will affect his passage through the game and the weapons at his disposal, resulting in a unique gameplay experience for each player. Powered by a new version of Io's stunning Glacier engine, Hitman: Blood Money delivers the most brutal and realistic simulation of life as the world's deadliest assassin. [Eidos Interactive]","May 30, 2006",Eidos Interactive,82,Hitman: Blood Money,Action Adventure|Modern|General|Modern|,8.8,Io Interactive,M
"Combining the thrill of illicit street racing and tuner customization with the intensity of strategic police pursuits that rivals any Hollywood-style chase scene, Need for Speed Most Wanted challenges players to become the most notorious and elusive street racer. Players instantly feel the thrill of the ride as they hit the streets in an open world environment where drivers can tune their cars to compete against any class of vehicles or use their wits to out-fox the law to satisfy their need for speed. Need for Speed Most Wanted delivers a unique, fast-paced and gripping ride in the racing genre as players build up their Rap Sheet and street cred to move their way up the Black List to become the most wanted racer on the streets. Players go head-to-head with the top drivers on the scene as well as strategically evade more than half dozen cops at any one time. Also included are a dynamic open world, new gameplay and customization as well as tuners, supercars, muscles and sports cars. [Electronic Arts]","Nov 15, 2005",Electronic Arts,82,Need for Speed: Most Wanted (2005),Driving|Racing|Simulation|GT / Street|GT / Street|Automobile|,8.7,Black Box,T
I think that this is truly a unique game and I would recommend that if you are a fan of this type of genre then I think you should give this game a try.,"Aug 16, 2018",1C Entertainment,82,Fell Seal: Arbiter's Mark,General|Strategy|Turn-Based|Tactics|,7.5,6 Eyes Studio,T
"The first graphic adventure by Tim Schafer in 16 years, Broken Age began with the help of a record-breaking Kickstarter campaign. Broken Age is a timeless coming-of-age story of barfing trees and talking spoons. Vella Tartine and Shay Volta are two teenagers in strangely similar situations, but radically different worlds. The player can freely switch between their stories, helping them take control of their own lives, and dealing with the unexpected adventures that follow.","Jan 28, 2014",Double Fine Productions,82,Broken Age: Act 1,General|Adventure|General|3D|Point-and-Click|Third-Person|Fantasy|,7.7,Double Fine Productions,None
"If you enjoyed the first game then you will certainly enjoy this one it's more of the same except there are new features, tricks characters and challenges. If you're unsure remember you can always return it if you don't like it. If you're strapped for cash then get it on G2A or wait for a sale.","Aug 11, 2015",Devolver Digital,82,OlliOlli2: Welcome to Olliwood,Sports|Individual|Skate / Skateboard|,5.8,roll7,None
"Divinity II - The Dragon Knight Saga includes the original adventure ""Ego Draconis"", and ""Flames of Vengeance"", the Dragon Knight's new adventure that continues the epic story and adds dozens of hours of additional gameplay. Divinity II - Ego Draconis appears here as an entirely new and re-mastered edition with improved graphics and content that make the game even more beautiful and more impressive than ever before!","Nov  5, 2010",Focus Home Interactive,82,Divinity II: The Dragon Knight Saga,Role-Playing|Miscellaneous|Action RPG|Compilation|,8.3,Larian Studios Games,M
An excellent homage to old school platforming. The gameplay is demanding and not for the timid. No victory will be handed to you that you do not earn. Those looking for an enjoyable oldschool challenge need look no further.,"Jan 26, 2021",Yacht Club Games,82,Cyber Shadow,Action|Platformer|2D|,7.1,"Aarne ""MekaSkull"" Hunziker",E10+
"The game lets you do almost anything a real life general manager can do to guide a baseball team to glory. Set your line-ups. Replace that aging veteran with a rookie from your minor leagues. Put your injured starter on the disabled list and scout the waiver wire for someone to fill that roster spot. Put that disgruntled star heading for free agency on the trade block, and see what shakes out. Negotiate contracts with free agents and extensions with your own players. Set your scouting budget, and have your scouting director get a closer look at that free agent pitcher from Japan. The game has no limits, you can guide your team into the infinite future. But it does not end in the front office. OOTP 9 lets you call every play from the dugout, you have total control over your team on the diamond. The most realistic baseball simulation engine on the market handles all the games of your virtual baseball world. You can even save your most exciting games as replays and share them with your friends or the thriving OOTP community. [OOTP Developments]","Jun  1, 2008",Out Of The Park Developments,82,Out of the Park Baseball 9,Sports|Traditional|Baseball|Management|,7.4,Out Of The Park Developments,E
"The Simpsons Hit & Run is a mission-based driving game featuring out-of-the-car platform action, the interactive world of Springfield,and the signature humor of the Simpsons. New story and dialogue crafted by writers from The Simpsons television show. All character voices supplied by the cast of The Simpsons television show. Over 56 missions in 7 huge levels. Explore Springfield on foot as Homer, Bart, Lisa, Marge,and Apu. Hidden pick-ups containing trivia material from 300-plus episodes of The Simpsons. [Vivendi Universal]","Nov 13, 2003",VU Games,82,The Simpsons: Hit & Run,Driving|Action Adventure|Mission-based|Mission-based|Open-World|,8.1,Radical Entertainment,T
"You are a Hand of Avadon, the Black Fortress. You protect your homeland from the limitless threats that surround it. Titans and monsters, pirates and barbarians. But then a sneak raid shattered Avadon, and, with it unable to keep order, madness resulted. Civil war, barbarian raids, even conspiracies to destroy your people. Avadon's power has faded, but your people need it more than ever. Everything is falling apart, and a shadowy power has risen to destroy your homeland. What will you do? Will you fight your enemies? Or will you join them and end Avadon's power once and for all? The choice is yours!","Oct 30, 2013",Spiderweb Software,82,Avadon 2: The Corruption,Role-Playing|General|General|Western-Style|,7.7,Spiderweb Software,None
"Score 8: Eine sehr entspannende Punktejagd (Denn das sollte man vor dem Kauf wissen: Das ist das Ziel des Spiels). Man setzt unterschiedliche Gebäude auf einer Insel, um mehr Punkte und mehr Gebäude zu bekommen. Das Design des Spiels ist einfach, aber gelungen und das Gameplay ist gut dafür, hin und wieder eine Runde zu spielen.","Apr  4, 2019",GrizzlyGames,82,ISLANDERS,Strategy|General|,8.7,GrizzlyGames,None
